Source File Path,Code Lines,Comment Lines,Mixed Lines,Blank Lines,Total Lines
C:\ppm8-dev\app\classes\infinitymetrics\orm\om\PersistentBaseWorkspace.php,581,510,26,169,1286
C:\ppm8-dev\app\classes\infinitymetrics\orm\om\PersistentBaseWorkspacePeer.php,635,470,44,232,1381
C:\ppm8-dev\app\classes\infinitymetrics\orm\om\PersistentBaseWorkspaceShare.php,343,372,16,113,844
C:\ppm8-dev\app\classes\infinitymetrics\orm\om\PersistentBaseWorkspaceSharePeer.php,599,443,43,213,1298
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentChannel.php,35,34,1,14,84
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentChannelPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentCustomEvent.php,7,21,1,5,34
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentCustomEventEntry.php,7,21,1,5,34
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentCustomEventEntryPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentCustomEventPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentEvent.php,7,21,1,5,34
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentEventPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentInstitution.php,7,21,1,5,34
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentInstitutionPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentProject.php,38,30,1,14,83
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentProjectPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentUser.php,21,34,1,4,60
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentUserPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentUserXInstitution.php,7,21,1,5,34
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentUserXInstitutionPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentUserXProject.php,7,21,1,5,34
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentUserXProjectPeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentWorkspace.php,35,25,1,9,70
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentWorkspacePeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentWorkspaceShare.php,7,21,1,5,34
C:\ppm8-dev\app\classes\infinitymetrics\orm\PersistentWorkspaceSharePeer.php,3,15,1,4,23
C:\ppm8-dev\app\classes\infinitymetrics\orm\sql\schema.sql,190,0,33,46,269
C:\ppm8-dev\app\classes\infinitymetrics\tests\AllFunctionalTestSuites.class.php,15,24,0,3,42
C:\ppm8-dev\app\classes\infinitymetrics\tests\AllSystemTestSuites.class.php,15,24,0,3,42
C:\ppm8-dev\app\classes\infinitymetrics\tests\AllTestSuites.class.php,15,28,0,3,46
